ward_name,restaurants,avg_rating,total_reviews,total_demand_score
K/E,188,4.208510638297873,342095.0,4980.483585668034
S,226,4.203619909502263,264581.0,4918.7648724503915
K/W,161,4.227329192546584,411052.0,4533.0755761340415
A,146,4.225352112676056,471240.0,3880.831182438267
P/S,139,4.144202898550724,276188.0,3452.7828244477196
G/S,115,4.380869565217392,203087.0,3123.7741322173406
H/W,109,4.211926605504587,223340.0,3037.827764364662
R/C,107,4.214018691588785,172732.0,2883.2319801793437
R/S,108,4.227777777777778,174543.0,2775.44638306452
P/N,128,4.241176470588235,199876.0,2646.2525212750415
D,129,4.195081967213115,155287.0,2610.6702002532097
H/E,95,4.244210526315789,178735.0,2456.611345800073
M/W,91,4.224175824175824,126532.0,2383.142283593384
T,88,4.243181818181818,113721.0,2368.6439868145353
N,100,4.208,221973.0,2342.364099212973
L,98,4.323157894736842,144763.0,2301.3211525251954
F/N,84,4.119047619047619,235033.0,2198.5056231993553
G/N,83,4.190361445783132,138681.0,2070.2645565871176
E,82,4.237804878048781,81828.0,1812.4404888040283
M/E,100,4.35,30955.0,1643.637795503853
R/N,55,4.165454545454545,99680.0,1476.9097978828065
F/S,39,4.233333333333333,40613.0,835.5750970980819
C,25,4.268,75941.0,715.882802414127
B,17,4.088235294117647,48556.0,426.0652690358311
